广东港澳台,#genre#
安徽铜陵综合台,http://dstpush1.retalltech.com/app/stream1.m3u8
安徽铜陵公共台,http://dstpush1.retalltech.com/app/stream2.m3u8
安徽东至综合台,http://223.247.33.124:1935/live/zonghe/playlist.m3u8
安徽东至影视台,http://223.247.33.124:1935/live/yingshi/playlist.m3u8
重庆重庆生活台,http://219.153.252.50/PLTV/88888888/224/3221225648/chunklist.m3u8
重庆万州综合台,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
重庆万州影视台,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
重庆万盛综合台,http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8
成都新闻,http://live.826pc.com/cdtv/live.php?id=1
成都经济,http://live.826pc.com/cdtv/live.php?id=2
成都都市,http://live.826pc.com/cdtv/live.php?id=3
成都影视,http://live.826pc.com/cdtv/live.php?id=45
成都公共,http://live.826pc.com/cdtv/live.php?id=5
成都少儿,http://live.826pc.com/cdtv/live.php?id=6
福建长乐电视台,http://35908.hlsplay.aodianyun.com/guangdianyun_35908/tv_channel_327.m3u8
福建福州影视台,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福建厦门第一台,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen1_2/index.m3u8
深圳蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8
广东潮州综合,http://dslive.grtn.cn/czzh/sd/live.m3u8
广东潮州公共,http://live.zscz0768.com/live/ggpd.m3u8
福建福州综合,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
福建福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
福建福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
江苏徐州综合,http://stream1.huaihai.tv/xwzh/playlist.m3u8
江苏徐州生活,http://stream1.huaihai.tv/jjsh/playlist.m3u8
江苏徐州影视,http://183.207.248.15/PLTV/3/224/3221225949/index.m3u8
江苏徐州公共,http://stream1.huaihai.tv/ggpd/playlist.m3u8
浙江6套FHD,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702
浙江公共FHD,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
浙江国际FHD,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884
浙江经视FHD,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8?k=3bc164885721feecc386b066a39b8567&t=1577153471
浙江影视娱乐FHD,http://yd-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8?k=79b277c166767a9e072b9629b446d4e9&t=1577153637
杭州1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
杭州2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
杭州3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
杭州4HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
杭州5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8
杭州文化HD,http://112.17.40.145/PLTV/88888888/224/3221226181/index.m3u8
杭州影视FHD,http://hms24nc1972679559.live.aikan.miguvideo.com/wh7f454c46tw4264175370_127639391/PLTV/88888888/224/3221229377/index.m3u8?icpid=88888888&RTS=1598530962&from=2&hms_devid=24&online=1598530962
重庆影视,http://219.153.252.50/PLTV/88888888/224/3221225633/chunklist.m3u8
重庆都市,http://219.153.252.50/PLTV/88888888/224/3221225631/chunklist.m3u8
重庆娱乐,http://219.153.252.50/PLTV/88888888/224/3221225630/1.m3u8
重庆时尚,http://219.153.252.50/PLTV/88888888/224/3221225627/chunklist.m3u8
重庆生活,http://219.153.252.50/PLTV/88888888/224/3221225648/1.m3u8
重庆公共,http://219.153.252.50/PLTV/88888888/224/3221225647/chunklist.m3u8
重庆科教,http://219.153.252.50/PLTV/88888888/224/3221225632/chunklist.m3u8
重庆汽摩,http://219.153.252.50/PLTV/88888888/224/3221225642/chunklist.m3u8
重庆移动,http://219.153.252.50/PLTV/88888888/224/3221225643/chunklist.m3u8
重庆手持,http://219.153.252.50/PLTV/88888888/224/3221225624/chunklist.m3u8
重庆国际,http://219.153.252.50/PLTV/88888888/224/3221225644/chunklist.m3u8
安徽经视,http://zbbf2.ahtv.cn/live/750.m3u8
安徽综艺,http://zbbf2.ahtv.cn/live/758.m3u8
安徽影视,http://zbbf2.ahtv.cn/live/756.m3u8
安徽科教,http://zbbf2.ahtv.cn/live/754.m3u8
安徽公共,http://zbbf2.ahtv.cn/live/752.m3u8
安徽人物,http://zbbf2.ahtv.cn/live/da9.m3u8
深圳都市,http://www.wodedianshi.com/QQ860001680/sztv.php?id=2
深圳电视剧,http://www.wodedianshi.com/QQ860001680/sztv.php?id=3
深圳公共,http://www.wodedianshi.com/QQ860001680/sztv.php?id=4
深圳财经生活,http://www.wodedianshi.com/QQ860001680/sztv.php?id=5
深圳娱乐,http://www.wodedianshi.com/QQ860001680/sztv.php?id=6
深圳少儿,http://www.wodedianshi.com/QQ860001680/sztv.php?id=7
深圳移动电视,http://www.wodedianshi.com/QQ860001680/sztv.php?id=8
深圳国际频道,http://www.wodedianshi.com/QQ860001680/sztv.php?id=11
深圳DV生活,http://www.wodedianshi.com/QQ860001680/sztv.php?id=10
广州番禺HD,http://live.pybtv.cn/channel1/sd/live.m3u8
哈尔滨新闻综合FHD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225745/index.m3u8
吉林卫视,http://118.123.60.5:8114/z.m3u8?FvSeid=&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=&Fsv_chan_hls_se_idx=53&Provider_id=&Pcontent_id=&Fsv_otype=1
江苏体育休闲,http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY
江苏综艺,http://183.207.248.71/gitv/live1/G_JSZY/G_JSZY
深圳蛇口FHD,http://218.17.99.211:82/hls/d4encs75.m3u8
